"","from","to"
"1","uce-54274_aphimm","uce-2003_aphimm"
"2","uce-226294_aphimm","uce-3756_aphimm"
"3","uce-106871_aphimm","uce-3358_aphimm"
"4","uce-125457_aphimm","uce-2591_aphimm"
"5","uce-152178_aphimm","uce-2001_aphimm"
"6","uce-105566_aphimm","uce-2593_aphimm"
"7","uce-120792_aphimm","uce-3086_aphimm"
"8","uce-162980_aphimm","uce-3170_aphimm"
"9","uce-41700_aphimm","uce-3171_aphimm"
"10","uce-67103_aphimm","uce-2594_aphimm"
"11","uce-144869_aphimm","uce-2450_aphimm"
"12","uce-201959_aphimm","uce-2596_aphimm"
"13","uce-182063_aphimm","uce-3758_aphimm"
"14","uce-223467_aphimm","uce-3759_aphimm"
"15","uce-161795_aphimm","uce-2597_aphimm"
"16","uce-11669_aphimm","uce-2598_aphimm"
"17","uce-177193_aphimm","uce-3760_aphimm"
"18","uce-177190_aphimm","uce-2050_aphimm"
"19","uce-54095_aphimm","uce-3559_aphimm"
"20","uce-249555_aphimm","uce-2026_aphimm"
"21","uce-162211_aphimm","uce-2600_aphimm"
"22","uce-156921_aphimm","uce-2004_aphimm"
"23","uce-240843_aphimm","uce-2601_aphimm"
"24","uce-54303_aphimm","uce-3761_aphimm"
"25","uce-230833_aphimm","uce-3757_aphimm"
"26","uce-73762_aphimm","uce-3174_aphimm"
"27","uce-44468_aphimm","uce-2091_aphimm"
"28","uce-187766_aphimm","uce-2033_aphimm"
"29","uce-199159_aphimm","uce-2603_aphimm"
"30","uce-91404_aphimm","uce-3176_aphimm"
"31","uce-144913_aphimm","uce-3764_aphimm"
"32","uce-159118_aphimm","uce-3765_aphimm"
"33","uce-187165_aphimm","uce-2604_aphimm"
"34","uce-144260_aphimm","uce-3766_aphimm"
"35","uce-18115_aphimm","uce-4312_aphimm"
"36","uce-156630_aphimm","uce-3767_aphimm"
"37","uce-117384_aphimm","uce-2606_aphimm"
"38","uce-84564_aphimm","uce-3359_aphimm"
"39","uce-203704_aphimm","uce-3227_aphimm"
"40","uce-44788_aphimm","uce-3177_aphimm"
"41","uce-188471_aphimm","uce-3769_aphimm"
"42","uce-55431_aphimm","uce-2607_aphimm"
"43","uce-231612_aphimm","uce-3771_aphimm"
"44","uce-223730_aphimm","uce-3179_aphimm"
"45","uce-70844_aphimm","uce-3772_aphimm"
"46","uce-92695_aphimm","uce-3180_aphimm"
"47","uce-139174_aphimm","uce-2007_aphimm"
"48","uce-148704_aphimm","uce-3181_aphimm"
"49","uce-122105_aphimm","uce-2608_aphimm"
"50","uce-18803_aphimm","uce-3182_aphimm"
"51","uce-169672_aphimm","uce-2904_aphimm"
"52","uce-72591_aphimm","uce-2610_aphimm"
"53","uce-154673_aphimm","uce-3773_aphimm"
"54","uce-45758_aphimm","uce-3184_aphimm"
"55","uce-63751_aphimm","uce-2611_aphimm"
"56","uce-164914_aphimm","uce-2612_aphimm"
"57","uce-164912_aphimm","uce-2613_aphimm"
"58","uce-63757_aphimm","uce-2614_aphimm"
"59","uce-249798_aphimm","uce-3243_aphimm"
"60","uce-163610_aphimm","uce-3775_aphimm"
"61","uce-28336_aphimm","uce-2616_aphimm"
"62","uce-56536_aphimm","uce-2073_aphimm"
"63","uce-51843_aphimm","uce-2008_aphimm"
"64","uce-164046_aphimm","uce-2877_aphimm"
