"","X","from","to","from_5","to_5"
"1",1,"uce-119011_p1","uce-2000_p1",NA,"uce-2000_p1"
"2",2,"uce-119011_p2","uce-2000_p2",NA,"uce-2000_p2"
"3",3,"uce-119011_p3","uce-2000_p3",NA,"uce-2000_p3"
"4",4,"uce-119011_p4","uce-2000_p4",NA,"uce-2000_p4"
"5",5,"uce-119011_p5","uce-2000_p5",NA,"uce-2000_p5"
"6",6,"uce-119011_p6","uce-2000_p6",NA,"uce-2000_p6"
"7",7,"uce-119011_p7","uce-2000_p7",NA,"uce-2000_p7"
"8",8,"uce-119011_p8","uce-2000_p8",NA,"uce-2000_p8"
"9",9,"uce-119011_p9","uce-2000_p9",NA,"uce-2000_p9"
"10",10,"uce-119011_p10","uce-2000_p10",NA,"uce-2000_p10"
"11",11,"uce-152178_p1","uce-2001_p1",NA,"uce-2001_p1"
"12",12,"uce-152178_p2","uce-2001_p2",NA,"uce-2001_p2"
"13",13,"uce-152178_p3","uce-2001_p3",NA,"uce-2001_p3"
"14",14,"uce-152178_p4","uce-2001_p4",NA,"uce-2001_p4"
"15",15,"uce-152178_p5","uce-2001_p5",NA,"uce-2001_p5"
"16",16,"uce-152178_p6","uce-2001_p6",NA,"uce-2001_p6"
"17",17,"uce-152178_p7","uce-2001_p7",NA,"uce-2001_p7"
"18",18,"uce-152178_p8","uce-2001_p8",NA,"uce-2001_p8"
"19",19,"uce-152178_p9","uce-2001_p9",NA,"uce-2001_p9"
"20",20,"uce-152178_p10","uce-2001_p10",NA,"uce-2001_p10"
"21",21,"uce-188193_p1","uce-2002_p1",NA,"uce-2002_p1"
"22",22,"uce-188193_p2","uce-2002_p2",NA,"uce-2002_p2"
"23",23,"uce-188193_p3","uce-2002_p3",NA,"uce-2002_p3"
"24",24,"uce-188193_p4","uce-2002_p4",NA,"uce-2002_p4"
"25",25,"uce-188193_p5","uce-2002_p5",NA,"uce-2002_p5"
"26",26,"uce-188193_p6","uce-2002_p6",NA,"uce-2002_p6"
"27",27,"uce-188193_p7","uce-2002_p7",NA,"uce-2002_p7"
"28",28,"uce-188193_p8","uce-2002_p8",NA,"uce-2002_p8"
"29",29,"uce-188193_p9","uce-2002_p9",NA,"uce-2002_p9"
"30",30,"uce-188193_p10","uce-2002_p10",NA,"uce-2002_p10"
"31",31,"uce-54274_p1","uce-2003_p1",NA,"uce-2003_p1"
"32",32,"uce-54274_p2","uce-2003_p2",NA,"uce-2003_p2"
"33",33,"uce-54274_p3","uce-2003_p3",NA,"uce-2003_p3"
"34",34,"uce-54274_p4","uce-2003_p4",NA,"uce-2003_p4"
"35",35,"uce-54274_p5","uce-2003_p5",NA,"uce-2003_p5"
"36",36,"uce-54274_p6","uce-2003_p6",NA,"uce-2003_p6"
"37",37,"uce-54274_p7","uce-2003_p7",NA,"uce-2003_p7"
"38",38,"uce-54274_p8","uce-2003_p8",NA,"uce-2003_p8"
"39",39,"uce-54274_p9","uce-2003_p9",NA,"uce-2003_p9"
"40",40,"uce-54274_p10","uce-2003_p10",NA,"uce-2003_p10"
"41",41,"uce-156921_p1","uce-2004_p1",NA,"uce-2004_p1"
"42",42,"uce-156921_p2","uce-2004_p2",NA,"uce-2004_p2"
"43",43,"uce-156921_p3","uce-2004_p3",NA,"uce-2004_p3"
"44",44,"uce-156921_p4","uce-2004_p4",NA,"uce-2004_p4"
"45",45,"uce-156921_p5","uce-2004_p5",NA,"uce-2004_p5"
"46",46,"uce-156921_p6","uce-2004_p6",NA,"uce-2004_p6"
"47",47,"uce-156921_p7","uce-2004_p7",NA,"uce-2004_p7"
"48",48,"uce-156921_p8","uce-2004_p8",NA,"uce-2004_p8"
"49",49,"uce-156921_p9","uce-2004_p9",NA,"uce-2004_p9"
"50",50,"uce-156921_p10","uce-2004_p10",NA,"uce-2004_p10"
"51",51,"uce-115104_p1","uce-2005_p1",NA,"uce-2005_p1"
"52",52,"uce-115104_p2","uce-2005_p2",NA,"uce-2005_p2"
"53",53,"uce-115104_p3","uce-2005_p3",NA,"uce-2005_p3"
"54",54,"uce-115104_p4","uce-2005_p4",NA,"uce-2005_p4"
"55",55,"uce-115104_p5","uce-2005_p5",NA,"uce-2005_p5"
"56",56,"uce-115104_p6","uce-2005_p6",NA,"uce-2005_p6"
"57",57,"uce-115104_p7","uce-2005_p7",NA,"uce-2005_p7"
"58",58,"uce-115104_p8","uce-2005_p8",NA,"uce-2005_p8"
"59",59,"uce-115104_p9","uce-2005_p9",NA,"uce-2005_p9"
"60",60,"uce-115104_p10","uce-2005_p10",NA,"uce-2005_p10"
"61",61,"uce-226983_p1","uce-2006_p1","uce-2006_p1","uce-885_p1"
"62",62,"uce-226983_p2","uce-2006_p2","uce-2006_p2","uce-885_p2"
"63",63,"uce-226983_p3","uce-2006_p3","uce-2006_p3","uce-885_p3"
"64",64,"uce-226983_p4","uce-2006_p4","uce-2006_p4","uce-885_p4"
"65",65,"uce-226983_p5","uce-2006_p5","uce-2006_p5","uce-885_p5"
"66",66,"uce-226983_p6","uce-2006_p6","uce-2006_p6","uce-885_p6"
"67",67,"uce-226983_p7","uce-2006_p7","uce-2006_p7","uce-885_p7"
"68",68,"uce-226983_p8","uce-2006_p8","uce-2006_p8","uce-885_p8"
"69",69,"uce-226983_p9","uce-2006_p9","uce-2006_p9","uce-885_p9"
"70",70,"uce-226983_p10","uce-2006_p10","uce-2006_p10","uce-885_p10"
"71",71,"uce-139174_p1","uce-2007_p1",NA,"uce-2007_p1"
"72",72,"uce-139174_p2","uce-2007_p2",NA,"uce-2007_p2"
"73",73,"uce-139174_p3","uce-2007_p3",NA,"uce-2007_p3"
"74",74,"uce-139174_p4","uce-2007_p4",NA,"uce-2007_p4"
"75",75,"uce-139174_p5","uce-2007_p5",NA,"uce-2007_p5"
"76",76,"uce-139174_p6","uce-2007_p6",NA,"uce-2007_p6"
"77",77,"uce-139174_p7","uce-2007_p7",NA,"uce-2007_p7"
"78",78,"uce-139174_p8","uce-2007_p8",NA,"uce-2007_p8"
"79",79,"uce-139174_p9","uce-2007_p9",NA,"uce-2007_p9"
"80",80,"uce-139174_p10","uce-2007_p10",NA,"uce-2007_p10"
"81",81,"uce-51843_p1","uce-2008_p1",NA,"uce-2008_p1"
"82",82,"uce-51843_p2","uce-2008_p2",NA,"uce-2008_p2"
"83",83,"uce-51843_p3","uce-2008_p3",NA,"uce-2008_p3"
"84",84,"uce-51843_p4","uce-2008_p4",NA,"uce-2008_p4"
"85",85,"uce-51843_p5","uce-2008_p5",NA,"uce-2008_p5"
"86",86,"uce-51843_p6","uce-2008_p6",NA,"uce-2008_p6"
"87",87,"uce-51843_p7","uce-2008_p7",NA,"uce-2008_p7"
"88",88,"uce-51843_p8","uce-2008_p8",NA,"uce-2008_p8"
"89",89,"uce-51843_p9","uce-2008_p9",NA,"uce-2008_p9"
"90",90,"uce-51843_p10","uce-2008_p10",NA,"uce-2008_p10"
"91",91,"uce-3915_p1","uce-2009_p1","uce-2009_p1","uce-1381_p1"
"92",92,"uce-3915_p2","uce-2009_p2","uce-2009_p2","uce-1381_p2"
"93",93,"uce-3915_p3","uce-2009_p3","uce-2009_p3","uce-1381_p3"
"94",94,"uce-3915_p4","uce-2009_p4","uce-2009_p4","uce-1381_p4"
"95",95,"uce-3915_p5","uce-2009_p5","uce-2009_p5","uce-1381_p5"
"96",96,"uce-3915_p6","uce-2009_p6","uce-2009_p6","uce-1381_p6"
"97",97,"uce-3915_p7","uce-2009_p7","uce-2009_p7","uce-1381_p7"
"98",98,"uce-3915_p8","uce-2009_p8","uce-2009_p8","uce-1381_p8"
"99",99,"uce-3915_p9","uce-2009_p9","uce-2009_p9","uce-1381_p9"
"100",100,"uce-3915_p10","uce-2009_p10","uce-2009_p10","uce-1381_p10"
"101",101,"uce-131084_p1","uce-2010_p1",NA,"uce-2010_p1"
"102",102,"uce-131084_p2","uce-2010_p2",NA,"uce-2010_p2"
"103",103,"uce-131084_p3","uce-2010_p3",NA,"uce-2010_p3"
"104",104,"uce-131084_p4","uce-2010_p4",NA,"uce-2010_p4"
"105",105,"uce-131084_p5","uce-2010_p5",NA,"uce-2010_p5"
"106",106,"uce-131084_p6","uce-2010_p6",NA,"uce-2010_p6"
"107",107,"uce-131084_p7","uce-2010_p7",NA,"uce-2010_p7"
"108",108,"uce-131084_p8","uce-2010_p8",NA,"uce-2010_p8"
"109",109,"uce-131084_p9","uce-2010_p9",NA,"uce-2010_p9"
"110",110,"uce-131084_p10","uce-2010_p10",NA,"uce-2010_p10"
"111",111,"uce-166821_p1","uce-2011_p1",NA,"uce-2011_p1"
"112",112,"uce-166821_p2","uce-2011_p2",NA,"uce-2011_p2"
"113",113,"uce-166821_p3","uce-2011_p3",NA,"uce-2011_p3"
"114",114,"uce-166821_p4","uce-2011_p4",NA,"uce-2011_p4"
"115",115,"uce-166821_p5","uce-2011_p5",NA,"uce-2011_p5"
"116",116,"uce-166821_p6","uce-2011_p6",NA,"uce-2011_p6"
"117",117,"uce-166821_p7","uce-2011_p7",NA,"uce-2011_p7"
"118",118,"uce-166821_p8","uce-2011_p8",NA,"uce-2011_p8"
"119",119,"uce-166821_p9","uce-2011_p9",NA,"uce-2011_p9"
"120",120,"uce-166821_p10","uce-2011_p10",NA,"uce-2011_p10"
"121",121,"uce-70208_p1","uce-2012_p1",NA,"uce-2012_p1"
"122",122,"uce-70208_p2","uce-2012_p2",NA,"uce-2012_p2"
"123",123,"uce-70208_p3","uce-2012_p3",NA,"uce-2012_p3"
"124",124,"uce-70208_p4","uce-2012_p4",NA,"uce-2012_p4"
"125",125,"uce-70208_p5","uce-2012_p5",NA,"uce-2012_p5"
"126",126,"uce-70208_p6","uce-2012_p6",NA,"uce-2012_p6"
"127",127,"uce-70208_p7","uce-2012_p7",NA,"uce-2012_p7"
"128",128,"uce-70208_p8","uce-2012_p8",NA,"uce-2012_p8"
"129",129,"uce-70208_p9","uce-2012_p9",NA,"uce-2012_p9"
"130",130,"uce-70208_p10","uce-2012_p10",NA,"uce-2012_p10"
"131",131,"uce-92215_p1","uce-2013_p1",NA,"uce-2013_p1"
"132",132,"uce-92215_p2","uce-2013_p2",NA,"uce-2013_p2"
"133",133,"uce-92215_p3","uce-2013_p3",NA,"uce-2013_p3"
"134",134,"uce-92215_p4","uce-2013_p4",NA,"uce-2013_p4"
"135",135,"uce-92215_p5","uce-2013_p5",NA,"uce-2013_p5"
"136",136,"uce-92215_p6","uce-2013_p6",NA,"uce-2013_p6"
"137",137,"uce-92215_p7","uce-2013_p7",NA,"uce-2013_p7"
"138",138,"uce-92215_p8","uce-2013_p8",NA,"uce-2013_p8"
"139",139,"uce-92215_p9","uce-2013_p9",NA,"uce-2013_p9"
"140",140,"uce-92215_p10","uce-2013_p10",NA,"uce-2013_p10"
"141",141,"uce-126821_p1","uce-2014_p1",NA,"uce-2014_p1"
"142",142,"uce-126821_p2","uce-2014_p2",NA,"uce-2014_p2"
"143",143,"uce-126821_p3","uce-2014_p3",NA,"uce-2014_p3"
"144",144,"uce-126821_p4","uce-2014_p4",NA,"uce-2014_p4"
"145",145,"uce-126821_p5","uce-2014_p5",NA,"uce-2014_p5"
"146",146,"uce-126821_p6","uce-2014_p6",NA,"uce-2014_p6"
"147",147,"uce-126821_p7","uce-2014_p7",NA,"uce-2014_p7"
"148",148,"uce-126821_p8","uce-2014_p8",NA,"uce-2014_p8"
"149",149,"uce-126821_p9","uce-2014_p9",NA,"uce-2014_p9"
